 -7.999999999999998E-003 NaN                     -7.999999999999998E-003
 NaN                     -7.999999999999998E-003 NaN                    
 -7.999999999999998E-003 NaN                    
 -7.933333333333332E-003 NaN                     -7.933333333333332E-003
 NaN                     -7.933333333333332E-003 NaN                    
 -7.933333333333332E-003 NaN                    
 -7.866666666666666E-003 NaN                     -7.866666666666666E-003
 NaN                     -7.866666666666666E-003 NaN                    
 -7.866666666666666E-003 NaN                    
 -7.799999999999999E-003 NaN                     -7.799999999999999E-003
 NaN                     -7.799999999999999E-003 NaN                    
 -7.799999999999999E-003 NaN                    
 -7.733333333333333E-003 NaN                     -7.733333333333333E-003
 NaN                     -7.733333333333333E-003 NaN                    
 -7.733333333333333E-003 NaN                    
 -7.666666666666665E-003 NaN                     -7.666666666666665E-003
 NaN                     -7.666666666666665E-003 NaN                    
 -7.666666666666665E-003 NaN                    
 -7.599999999999999E-003 NaN                     -7.599999999999999E-003
 NaN                     -7.599999999999999E-003 NaN                    
 -7.599999999999999E-003 NaN                    
 -7.533333333333333E-003 NaN                     -7.533333333333333E-003
 NaN                     -7.533333333333333E-003 NaN                    
 -7.533333333333333E-003 NaN                    
 -7.466666666666666E-003 NaN                     -7.466666666666666E-003
 NaN                     -7.466666666666666E-003 NaN                    
 -7.466666666666666E-003 NaN                    
 -7.399999999999999E-003 NaN                     -7.399999999999999E-003
 NaN                     -7.399999999999999E-003 NaN                    
 -7.399999999999999E-003 NaN                    
 -7.333333333333332E-003 NaN                     -7.333333333333332E-003
 NaN                     -7.333333333333332E-003 NaN                    
 -7.333333333333332E-003 NaN                    
 -7.266666666666666E-003 NaN                     -7.266666666666666E-003
 NaN                     -7.266666666666666E-003 NaN                    
 -7.266666666666666E-003 NaN                    
 -7.199999999999999E-003 NaN                     -7.199999999999999E-003
 NaN                     -7.199999999999999E-003 NaN                    
 -7.199999999999999E-003 NaN                    
 -7.133333333333333E-003 NaN                     -7.133333333333333E-003
 NaN                     -7.133333333333333E-003 NaN                    
 -7.133333333333333E-003 NaN                    
 -7.066666666666666E-003 NaN                     -7.066666666666666E-003
 NaN                     -7.066666666666666E-003 NaN                    
 -7.066666666666666E-003 NaN                    
 -6.999999999999999E-003 NaN                     -6.999999999999999E-003
 NaN                     -6.999999999999999E-003 NaN                    
 -6.999999999999999E-003 NaN                    
 -6.933333333333332E-003 NaN                     -6.933333333333332E-003
 NaN                     -6.933333333333332E-003 NaN                    
 -6.933333333333332E-003 NaN                    
 -6.866666666666666E-003 NaN                     -6.866666666666666E-003
 NaN                     -6.866666666666666E-003 NaN                    
 -6.866666666666666E-003 NaN                    
 -6.799999999999999E-003 NaN                     -6.799999999999999E-003
 NaN                     -6.799999999999999E-003 NaN                    
 -6.799999999999999E-003 NaN                    
 -6.733333333333332E-003 NaN                     -6.733333333333332E-003
 NaN                     -6.733333333333332E-003 NaN                    
 -6.733333333333332E-003 NaN                    
 -6.666666666666665E-003 NaN                     -6.666666666666665E-003
 NaN                     -6.666666666666665E-003 NaN                    
 -6.666666666666665E-003 NaN                    
 -6.599999999999999E-003 NaN                     -6.599999999999999E-003
 NaN                     -6.599999999999999E-003 NaN                    
 -6.599999999999999E-003 NaN                    
 -6.533333333333332E-003 NaN                     -6.533333333333332E-003
 NaN                     -6.533333333333332E-003 NaN                    
 -6.533333333333332E-003 NaN                    
 -6.466666666666666E-003 NaN                     -6.466666666666666E-003
 NaN                     -6.466666666666666E-003 NaN                    
 -6.466666666666666E-003 NaN                    
 -6.399999999999999E-003 NaN                     -6.399999999999999E-003
 NaN                     -6.399999999999999E-003 NaN                    
 -6.399999999999999E-003 NaN                    
 -6.333333333333332E-003 NaN                     -6.333333333333332E-003
 NaN                     -6.333333333333332E-003 NaN                    
 -6.333333333333332E-003 NaN                    
 -6.266666666666666E-003 NaN                     -6.266666666666666E-003
 NaN                     -6.266666666666666E-003 NaN                    
 -6.266666666666666E-003 NaN                    
 -6.199999999999999E-003 NaN                     -6.199999999999999E-003
 NaN                     -6.199999999999999E-003 NaN                    
 -6.199999999999999E-003 NaN                    
 -6.133333333333333E-003 NaN                     -6.133333333333333E-003
 NaN                     -6.133333333333333E-003 NaN                    
 -6.133333333333333E-003 NaN                    
 -6.066666666666666E-003 NaN                     -6.066666666666666E-003
 NaN                     -6.066666666666666E-003 NaN                    
 -6.066666666666666E-003 NaN                    
 -5.999999999999999E-003 NaN                     -5.999999999999999E-003
 NaN                     -5.999999999999999E-003 NaN                    
 -5.999999999999999E-003 NaN                    
 -5.933333333333332E-003 NaN                     -5.933333333333332E-003
 NaN                     -5.933333333333332E-003 NaN                    
 -5.933333333333332E-003 NaN                    
 -5.866666666666666E-003 NaN                     -5.866666666666666E-003
 NaN                     -5.866666666666666E-003 NaN                    
 -5.866666666666666E-003 NaN                    
 -5.799999999999999E-003 NaN                     -5.799999999999999E-003
 NaN                     -5.799999999999999E-003 NaN                    
 -5.799999999999999E-003 NaN                    
 -5.733333333333332E-003 NaN                     -5.733333333333332E-003
 NaN                     -5.733333333333332E-003 NaN                    
 -5.733333333333332E-003 NaN                    
 -5.666666666666665E-003 NaN                     -5.666666666666665E-003
 NaN                     -5.666666666666665E-003 NaN                    
 -5.666666666666665E-003 NaN                    
 -5.599999999999999E-003 NaN                     -5.599999999999999E-003
 NaN                     -5.599999999999999E-003 NaN                    
 -5.599999999999999E-003 NaN                    
 -5.533333333333332E-003 NaN                     -5.533333333333332E-003
 NaN                     -5.533333333333332E-003 NaN                    
 -5.533333333333332E-003 NaN                    
 -5.466666666666666E-003 NaN                     -5.466666666666666E-003
 NaN                     -5.466666666666666E-003 NaN                    
 -5.466666666666666E-003 NaN                    
 -5.399999999999999E-003 NaN                     -5.399999999999999E-003
 NaN                     -5.399999999999999E-003 NaN                    
 -5.399999999999999E-003 NaN                    
 -5.333333333333332E-003 NaN                     -5.333333333333332E-003
 NaN                     -5.333333333333332E-003 NaN                    
 -5.333333333333332E-003 NaN                    
 -5.266666666666666E-003 NaN                     -5.266666666666666E-003
 NaN                     -5.266666666666666E-003 NaN                    
 -5.266666666666666E-003 NaN                    
 -5.199999999999999E-003 NaN                     -5.199999999999999E-003
 NaN                     -5.199999999999999E-003 NaN                    
 -5.199999999999999E-003 NaN                    
 -5.133333333333333E-003 NaN                     -5.133333333333333E-003
 NaN                     -5.133333333333333E-003 NaN                    
 -5.133333333333333E-003 NaN                    
 -5.066666666666666E-003 NaN                     -5.066666666666666E-003
 NaN                     -5.066666666666666E-003 NaN                    
 -5.066666666666666E-003 NaN                    
 -4.999999999999999E-003 NaN                     -4.999999999999999E-003
 NaN                     -4.999999999999999E-003 NaN                    
 -4.999999999999999E-003 NaN                    
 -4.933333333333332E-003 NaN                     -4.933333333333332E-003
 NaN                     -4.933333333333332E-003 NaN                    
 -4.933333333333332E-003 NaN                    
 -4.866666666666666E-003 NaN                     -4.866666666666666E-003
 NaN                     -4.866666666666666E-003 NaN                    
 -4.866666666666666E-003 NaN                    
 -4.799999999999999E-003 NaN                     -4.799999999999999E-003
 NaN                     -4.799999999999999E-003 NaN                    
 -4.799999999999999E-003 NaN                    
 -4.733333333333332E-003 NaN                     -4.733333333333332E-003
 NaN                     -4.733333333333332E-003 NaN                    
 -4.733333333333332E-003 NaN                    
 -4.666666666666665E-003 NaN                     -4.666666666666665E-003
 NaN                     -4.666666666666665E-003 NaN                    
 -4.666666666666665E-003 NaN                    
 -4.599999999999999E-003 NaN                     -4.599999999999999E-003
 NaN                     -4.599999999999999E-003 NaN                    
 -4.599999999999999E-003 NaN                    
 -4.533333333333332E-003 NaN                     -4.533333333333332E-003
 NaN                     -4.533333333333332E-003 NaN                    
 -4.533333333333332E-003 NaN                    
 -4.466666666666666E-003 NaN                     -4.466666666666666E-003
 NaN                     -4.466666666666666E-003 NaN                    
 -4.466666666666666E-003 NaN                    
 -4.399999999999999E-003 NaN                     -4.399999999999999E-003
 NaN                     -4.399999999999999E-003 NaN                    
 -4.399999999999999E-003 NaN                    
 -4.333333333333332E-003 NaN                     -4.333333333333332E-003
 NaN                     -4.333333333333332E-003 NaN                    
 -4.333333333333332E-003 NaN                    
 -4.266666666666666E-003 NaN                     -4.266666666666666E-003
 NaN                     -4.266666666666666E-003 NaN                    
